card_product_code,category_code,multiplier,cap_amount,cap_period_code,start_date,end_date,requires_activation,is_merchant_locked,merchant_brand,notes
chase-chase-sapphire-preferred--credit-card,rcc_605657763,5.0000,,,,,f,t,All Travel (Ultimate Rewards),"Earn 5x total points on travel purchased through Chase Ultimate Rewards®, excluding hotel purchases that qualify for the $50 Annual Ultimate Rewards Hotel Credit"
chase-chase-sapphire-preferred--credit-card,rcc_160378660,3.0000,,,,,f,f,,"Earn 3x points on dining, including eligible delivery services, takeout and dining out"
chase-chase-sapphire-preferred--credit-card,rcc_1132334901,3.0000,,,,,f,t,Grocery Delivery,"Earn 3x points on online grocery purchases (excluding Target, Walmart and wholesale clubs)"
chase-chase-sapphire-preferred--credit-card,rcc_606097,5.0000,,,2022-03-01,2027-09-30,f,t,Lyft,"Earn 5x points on Lyft rides through September 30, 2027"
chase-chase-sapphire-preferred--credit-card,rcc_248970942,3.0000,,,,,f,f,,Earn 3x points on select streaming services
chase-chase-sapphire-preferred--credit-card,rcc_176638649,2.0000,,,,,f,f,,Earn 2x on travel purchases
chase-chase-sapphire-reserve--credit-card,rcc_2013874334,4.0000,,,,,f,f,,4x points on flights purchased direct
chase-chase-sapphire-reserve--credit-card,rcc_605657763,8.0000,,,,,f,t,All Travel (Ultimate Rewards),8x points on Chase Travel
chase-chase-sapphire-reserve--credit-card,rcc_160378660,3.0000,,,,,f,f,,3x points on dining worldwide
chase-chase-sapphire-reserve--credit-card,rcc_164006704,4.0000,,,,,f,f,,"4x points on hotels purchased direct
"
chase-chase-sapphire-reserve--credit-card,rcc_606097,5.0000,,,2022-03-01,2027-09-30,f,t,Lyft,5x total points on all eligible Lyft purchases
chase-chase-sapphire-reserve--credit-card,rcc_1800378277,10.0000,5000.00,,2022-03-01,2027-09-30,f,t,Peloton,10x points on eligible Peloton hardware and accessory purchases
chase-chase-freedom-unlimited--credit-card,rcc_605657763,5.0000,,,,,f,t,All Travel (Ultimate Rewards),Earn 5% on travel purchased through Chase Ultimate Rewards
chase-chase-freedom-unlimited--credit-card,rcc_160378660,3.0000,,,,,f,f,,"Earn 3% on dining at restaurants, including takeout and eligible delivery services"
chase-chase-freedom-unlimited--credit-card,rcc_1096261883,3.0000,,,,,f,f,,Earn 3% on drugstore purchases
chase-chase-freedom-flex--credit-card,rcc_605657763,5.0000,1500.00,,2026-04-01,2026-06-30,f,t,All Travel (Ultimate Rewards),Get 5% cash back on the Feeding America
chase-chase-freedom-flex--credit-card,rcc_141708891,5.0000,1500.00,,2026-04-01,2026-06-30,f,t,Amazon,Get 5% cash back on Chase Travel
chase-chase-freedom-flex--credit-card,rcc_494985384,5.0000,1500.00,,2026-04-01,2026-06-30,f,t,Feeding America,Get 5% cash back on Amazon
chase-chase-freedom-flex--credit-card,rcc_605657763,5.0000,,,,,f,t,All Travel (Ultimate Rewards),Earn 5% on travel purchased through Chase Ultimate Rewards.
chase-chase-freedom-flex--credit-card,rcc_160378660,3.0000,,,,,f,f,,"Earn 3% on dining at restaurants, including takeout and eligible delivery services"
chase-chase-freedom-flex--credit-card,rcc_1096261883,3.0000,,,,,f,f,,Earn 3% on drugstore purchases
capital-one-capital-one-walmart-rewards--mastercard,rcc_160378660,2.0000,,,,,f,f,,2% cash back at restaurants
capital-one-capital-one-walmart-rewards--mastercard,rcc_176638649,2.0000,,,,,f,f,,2% cash back on travel
capital-one-capital-one-walmart-rewards--mastercard,rcc_1401936047,2.0000,,,,,f,t,Walmart,2% cash back in Walmart stores
capital-one-capital-one-walmart-rewards--mastercard,rcc_141708891,5.0000,,,,,f,t,Walmart.com,"5% cash back at Walmart.com, including pickup and delivery."
citi-citi-custom-cash,rcc_160378660,5.0000,500.00,,,,f,f,,Earn 5% cash back on your top eligible spend category each billing cycle up to $500 spent.
citi-citi-custom-cash,rcc_1096261883,5.0000,500.00,,,,f,f,,Earn 5% cash back on your top eligible spend category each billing cycle up to $500 spent.
citi-citi-custom-cash,rcc_1576799624,5.0000,500.00,,,,f,t,Fitness Clubs,Earn 5% cash back on your top eligible spend category each billing cycle up to $500 spent.
citi-citi-custom-cash,rcc_1455345350,5.0000,500.00,,,,f,f,,Earn 5% cash back on your top eligible spend category each billing cycle up to $500 spent.
citi-citi-custom-cash,rcc_1132334901,5.0000,500.00,,,,f,f,,Earn 5% cash back on your top eligible spend category each billing cycle up to $500 spent.
citi-citi-custom-cash,rcc_1550080980,5.0000,500.00,,,,f,t,Home Improvement,Earn 5% cash back on your top eligible spend category each billing cycle up to $500 spent.
citi-citi-custom-cash,rcc_929639080,5.0000,500.00,,,,f,t,Live Entertainment,Earn 5% cash back on your top eligible spend category each billing cycle up to $500 spent.
citi-citi-custom-cash,rcc_248970942,5.0000,500.00,,,,f,f,,Earn 5% cash back on your top eligible spend category each billing cycle up to $500 spent.
citi-citi-custom-cash,rcc_1468589631,5.0000,500.00,,,,f,f,,Earn 5% cash back on your top eligible spend category each billing cycle up to $500 spent.
citi-citi-custom-cash,rcc_176638649,5.0000,500.00,,,,f,f,,Earn 5% cash back on your top eligible spend category each billing cycle up to $500 spent.
citi-citi-strata-premier,rcc_2013874334,3.0000,,,,,f,f,,Earn 3X ThankYou® Points per $1 on Air Travel
citi-citi-strata-premier,rcc_923252904,10.0000,,,,,f,t,Attractions (CitiTravel.com),"Earn 10 ThankYou® Points per $1 spent on Attractions booked through CitiTravel.com
"
citi-citi-strata-premier,rcc_646993658,10.0000,,,,,f,t,Car Rentals (CitiTravel.com),Earn 10 ThankYou® Points per $1 spent on Car Rentals booked through CitiTravel.com
citi-citi-strata-premier,rcc_160378660,3.0000,,,,,f,f,,Earn 3X ThankYou® Points per $1 at Restaurants
citi-citi-strata-premier,rcc_1455345350,3.0000,,,,,f,f,,Earn 3X ThankYou® Points per $1 on Gas Stations and EV Charging Stations
citi-citi-strata-premier,rcc_1132334901,3.0000,,,,,f,f,,Earn 3X ThankYou® Points per $1 at Supermarkets
citi-citi-strata-premier,rcc_164006704,3.0000,,,,,f,f,,Earn 3X ThankYou® Points per $1 on Hotel Purchases
citi-citi-strata-premier,rcc_773320415,10.0000,,,,,f,t,Hotels (CitiTravel.com),"Earn 10 ThankYou® Points per $1 spent on Hotels booked through CitiTravel.com
"
citi-citi-strata-elite,rcc_436957618,6.0000,,,,,f,t,Air Travel (CitiTravel.com),6 points per dollar spent on Air Travel booked on cititravel.com
citi-citi-strata-elite,rcc_923252904,12.0000,,,,,f,t,Attractions (CitiTravel.com),"12 points per dollar spent on Attractions booked on cititravel.com
"
citi-citi-strata-elite,rcc_646993658,12.0000,,,,,f,t,Car Rentals (CitiTravel.com),12 points per dollar spent on Car Rentals booked on cititravel.com
citi-citi-strata-elite,rcc_160378660,3.0000,,,,,f,f,,3 points per dollar spent at Restaurants any other time
citi-citi-strata-elite,rcc_773320415,12.0000,,,,,f,t,Hotels (CitiTravel.com),12 points per dollar spent on Hotels booked on cititravel.com
citi-citi-rewards,rcc_1455345350,2.0000,6000.00,,,,f,f,,"Earn 2 ThankYou® Points per $1 spent at supermarkets and gas stations for the first $6,000 spent per year."
citi-citi-rewards,rcc_1132334901,2.0000,6000.00,,,,f,f,,"Earn 2 ThankYou® Points per $1 spent at supermarkets and gas stations for the first $6,000 spent per year."
citi-citi----aadvantage--platinum-select--world-elite-mastercard,rcc_1141863839,2.0000,,,,,f,t,American Airlines,"Earn 2 AAdvantage® miles for every $1 spent at restaurants, gas stations, and eligible American Airlines purchases."
citi-citi----aadvantage--platinum-select--world-elite-mastercard,rcc_160378660,2.0000,,,,,f,f,,"Earn 2 AAdvantage® miles for every $1 spent at restaurants, gas stations, and eligible American Airlines purchases."
citi-citi----aadvantage--platinum-select--world-elite-mastercard,rcc_1455345350,2.0000,,,,,f,f,,"Earn 2 AAdvantage® miles for every $1 spent at restaurants, gas stations, and eligible American Airlines purchases."
citi-citi----aadvantage--executive-world-elite-mastercard,rcc_1141863839,4.0000,,,,,f,t,American Airlines,"Earn 4 AAdvantage® miles for every $1 spent on eligible American Airlines purchases. After you spend $150,000 in purchases on your card in a calendar year, earn a total of 5X AAdvantage® miles on eligible American Airlines purchases for the remainder of the year."
bank-of-america-bank-of-america--customized-cash-rewards,rcc_1132334901,2.0000,2500.00,,,,f,f,,"Automatic 2% cash back at grocery stores and wholesale clubs. Earn 3% and 2% cash back on the first $2,500 in combined purchases each quarter in the choice category, and at grocery stores and wholesale clubs, then earn unlimited 1% thereafter."
bank-of-america-bank-of-america--customized-cash-rewards,rcc_1386466601,2.0000,2500.00,,,,f,f,,"Automatic 2% cash back at grocery stores and wholesale clubs. Earn 3% and 2% cash back on the first $2,500 in combined purchases each quarter in the choice category, and at grocery stores and wholesale clubs, then earn unlimited 1% thereafter."
bank-of-america-bank-of-america--customized-cash-rewards,rcc_160378660,3.0000,2500.00,,,,f,f,,"Choose which category you want to earn 3% cash back in: gas and EV charging stations; online shopping, including cable, internet, phone plans and streaming; dining; travel; drug stores and pharmacies; or home improvement and furnishings. Earn 3% and 2% cash back on the first $2,500 in combined purchases each quarter in the choice category, and at grocery stores and wholesale clubs, then earn unlimited 1% thereafter."
bank-of-america-bank-of-america--customized-cash-rewards,rcc_1096261883,3.0000,2500.00,,,,f,f,,"Choose which category you want to earn 3% cash back in: gas and EV charging stations; online shopping, including cable, internet, phone plans and streaming; dining; travel; drug stores and pharmacies; or home improvement and furnishings. Earn 3% and 2% cash back on the first $2,500 in combined purchases each quarter in the choice category, and at grocery stores and wholesale clubs, then earn unlimited 1% thereafter."
bank-of-america-bank-of-america--customized-cash-rewards,rcc_1455345350,3.0000,2500.00,,,,f,f,,"Choose which category you want to earn 3% cash back in: gas and EV charging stations; online shopping, including cable, internet, phone plans and streaming; dining; travel; drug stores and pharmacies; or home improvement and furnishings. Earn 3% and 2% cash back on the first $2,500 in combined purchases each quarter in the choice category, and at grocery stores and wholesale clubs, then earn unlimited 1% thereafter."
bank-of-america-bank-of-america--customized-cash-rewards,rcc_1550080980,3.0000,2500.00,,,,f,t,Home Improvement,"Choose which category you want to earn 3% cash back in: gas and EV charging stations; online shopping, including cable, internet, phone plans and streaming; dining; travel; drug stores and pharmacies; or home improvement and furnishings. Earn 3% and 2% cash back on the first $2,500 in combined purchases each quarter in the choice category, and at grocery stores and wholesale clubs, then earn unlimited 1% thereafter."
bank-of-america-bank-of-america--customized-cash-rewards,rcc_158645550,3.0000,2500.00,,,,f,f,,"Choose which category you want to earn 3% cash back in: gas and EV charging stations; online shopping, including cable, internet, phone plans and streaming; dining; travel; drug stores and pharmacies; or home improvement and furnishings. Earn 3% and 2% cash back on the first $2,500 in combined purchases each quarter in the choice category, and at grocery stores and wholesale clubs, then earn unlimited 1% thereafter."
bank-of-america-bank-of-america--customized-cash-rewards,rcc_248970942,3.0000,2500.00,,,,f,f,,"Choose which category you want to earn 3% cash back in: gas and EV charging stations; online shopping, including cable, internet, phone plans and streaming; dining; travel; drug stores and pharmacies; or home improvement and furnishings. Earn 3% and 2% cash back on the first $2,500 in combined purchases each quarter in the choice category, and at grocery stores and wholesale clubs, then earn unlimited 1% thereafter."
bank-of-america-bank-of-america--customized-cash-rewards,rcc_1464813222,3.0000,2500.00,,,,f,t,Telecom,"Choose which category you want to earn 3% cash back in: gas and EV charging stations; online shopping, including cable, internet, phone plans and streaming; dining; travel; drug stores and pharmacies; or home improvement and furnishings. Earn 3% and 2% cash back on the first $2,500 in combined purchases each quarter in the choice category, and at grocery stores and wholesale clubs, then earn unlimited 1% thereafter."
